Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.catch.very-deep.10000.polysemy,40521762500,3773476514,371972753,36716085,618659840
All.catch.very-deep.10000.effectful,1201883593,108354962,8163212,1698136,618659840
All.catch.very-deep.10000.eff,378063800000,56863655880,421556572,12368199,734003200
All.catch.very-deep.10000.mp,857592578,55693814,6139778,1059227,734003200
All.catch.very-deep.10000.mp.safe,849100000,60656836,6139778,1059354,734003200
All.catch.very-deep.10000.mtl.logict,20286535,1710132,65586,39,734003200
All.catch.very-deep.10000.effective,175966113,23325202,1527777,93114,734003200
All.catch.very-deep.10000.effective.fstg,15977734,909384,65585,39,734003200
All.catch.very-deep.10000.effective.lstg,165591113,15805768,1527787,93144,734003200
All.catch.very-deep.10000.effective.naive,1784356250,111303776,18074259,1260114,734003200
All.catch.very-deep.10000.handrolled.logict,20389562,1663348,65586,38,734003200
All.local.shallow.10000.heftia,918012109,60167696,7205058,1225991,734003200
All.local.shallow.10000.freer,616256835,389224316,4793294,294555,734003200
All.local.shallow.10000.polysemy,2193356250,213537504,12630078,2889332,734003200
All.local.shallow.10000.fused,4973590,410910,24,0,734003200
All.local.shallow.10000.effectful,536763671,29780756,4326220,530076,734003200
All.local.shallow.10000.eff,398140600000,37356646058,409641299,15510284,734003200
All.local.shallow.10000.effective,198671582,14825304,1669450,52905,734003200
All.local.shallow.10000.effective.fstg,2499984,205468,24,0,734003200
All.local.shallow.10000.effective.naive,134543652,13449598,1029434,21975,734003200
All.local.shallow.10000.mp,781971875,52668134,5513578,1105456,734003200
All.local.shallow.10000.mp.safe,782685156,54857036,5513578,1106907,734003200
All.local.shallow.10000.mtl.logict,4981820,425868,24,0,734003200
All.local.shallow.10000.handrolled.logict,4973760,411018,24,0,734003200
All.local.deep.10000.heftia,3847182812,232159756,16006054,7761478,734003200
All.local.deep.10000.freer,454186914,26693934,4793732,293962,734003200
All.local.deep.10000.polysemy,5099900000,426334310,30232297,6815911,734003200
All.local.deep.10000.fused,4971289,417884,24,0,734003200
All.local.deep.10000.effectful,537658593,29142254,4341334,532467,734003200
All.local.deep.10000.eff,384135200000,41494266244,410402734,13307857,751828992
All.local.deep.10000.effective,202791796,14368046,1589474,50161,751828992
All.local.deep.10000.effective.fstg,2497698,205918,24,0,751828992
All.local.deep.10000.effective.lstg,201479980,16753040,1589474,50169,751828992
All.local.deep.10000.effective.naive,218586914,13912098,2549554,88248,751828992
All.local.deep.10000.mp,790821875,54070918,5515826,1099419,751828992
All.local.deep.10000.mp.safe,784499609,72834672,5515826,1100375,751828992
All.local.deep.10000.mtl.logict,4980093,415932,64,0,751828992
All.local.deep.10000.handrolled.logict,4971514,414116,64,0,751828992
All.local.very-deep.10000.heftia,36030112500,2178377422,95215313,79723648,751828992
All.local.very-deep.10000.freer,456703906,33158442,4797716,293910,751828992
All.local.very-deep.10000.polysemy,28175637500,2693232074,188651339,39711907,751828992
All.local.very-deep.10000.effectful,570612890,29098580,4648661,700622,751828992
All.local.very-deep.10000.eff,382941100000,49019976628,417691622,13429871,751828992
All.local.very-deep.10000.effective,203396386,14441416,1589474,50136,751828992
All.local.very-deep.10000.effective.fstg,2496730,213070,64,0,751828992
All.local.very-deep.10000.effective.lstg,201966210,19497026,1589475,50148,751828992
All.local.very-deep.10000.effective.naive,896762109,54640416,9830346,599752,751828992
All.local.very-deep.10000.mp,789210546,63252772,5535987,1107478,751828992
All.local.very-deep.10000.mp.safe,797438281,54907696,5535986,1107884,751828992
All.local.very-deep.10000.mtl.logict,3537939062,256253390,28886124,1029702,751828992
All.local.very-deep.10000.handrolled.logict,3524176562,239650584,28886111,1034024,751828992
All.nondet.shallow.32.heftia,2006940625,105014836,13454124,1995665,751828992
All.nondet.shallow.32.freer,3378800000,225989606,15889970,4841209,751828992
All.nondet.shallow.32.polysemy,8074909375,436969608,43492626,4305869,751828992
All.nondet.shallow.32.fused,240779199,13709890,3606907,2080,751828992
All.nondet.shallow.32.eff,24556725000,1980932620,111261132,8546067,751828992
All.nondet.shallow.32.effective,756504687,69753092,1531330,2369,751828992
All.nondet.shallow.32.effective.fstg,79510302,6678286,108345,81,751828992
All.nondet.shallow.32.effective.naive,898865234,61631622,1532765,2940,751828992
All.nondet.shallow.32.mp,1716708593,105336270,22646075,18487,751828992
All.nondet.shallow.32.mp.safe,1725028125,108913978,22646075,18442,751828992
All.nondet.shallow.32.mtl.listt,347535351,26646766,3664108,3817,751828992
All.nondet.shallow.32.mtl.logict,225100878,13311154,1987330,1919,751828992
All.nondet.shallow.32.handrolled.listt,347748046,30365976,3664101,3808,751828992
All.nondet.shallow.32.handrolled.logict,241681738,14231786,2003987,1943,751828992
All.nondet.deep.32.heftia,5511312500,449659294,67560404,2659497,751828992
All.nondet.deep.32.freer,5710284375,469811856,45646135,6536266,751828992
All.nondet.deep.32.polysemy,8071543750,453809996,43569971,4300282,751828992
All.nondet.deep.32.fused,2404489843,111502926,26810555,18102,751828992
All.nondet.deep.32.eff,50724200000,3394239386,383227083,11319010,751828992
All.nondet.deep.32.effective,764697265,63404754,1531411,2328,751828992
All.nondet.deep.32.effective.fstg,79320556,6628500,108345,79,751828992
All.nondet.deep.32.effective.lstg,990087500,61331150,7408482,9969,751828992
All.nondet.deep.32.effective.naive,603821875,58789370,1535162,2133,751828992
All.nondet.deep.32.mp,5635621875,462838120,68636524,52057,751828992
All.nondet.deep.32.mp.safe,5650906250,437570552,68636530,51595,751828992
All.nondet.deep.32.mtl.listt,62547275000,3650604580,469819536,451072,751828992
All.nondet.deep.32.mtl.logict,242349511,13591974,1969098,1886,751828992
All.nondet.deep.32.handrolled.listt,62482600000,3395245616,469819525,449562,751828992
All.nondet.deep.32.handrolled.logict,241866796,15524512,2010674,1931,751828992
All.nondet.very-deep.32.heftia,41445350000,3459979784,554516648,15196440,751828992
All.nondet.very-deep.32.freer,25597575000,2254627340,313450797,13094701,751828992
All.nondet.very-deep.32.polysemy,7755593750,454620570,44266212,4394178,751828992
All.nondet.very-deep.32.eff,392451400000,29161904134,4657484945,109987574,751828992
All.nondet.very-deep.32.effective,770110156,58750938,1531410,2284,751828992
All.nondet.very-deep.32.effective.fstg,79857324,7149084,108345,75,751828992
All.nondet.very-deep.32.effective.lstg,988954687,52551090,7408482,9765,751828992
All.nondet.very-deep.32.effective.naive,614328906,56703538,1559642,2118,751828992
All.nondet.very-deep.32.mp,38921300000,3709524970,483091545,742050,751828992
All.nondet.very-deep.32.mp.safe,38913150000,3435942054,483091454,741312,751828992
All.nondet.very-deep.32.mtl.listt,667690800000,28037609156,5480086293,5685438,751828992
All.nondet.very-deep.32.mtl.logict,248897363,16066496,2035339,2230,751828992
All.nondet.very-deep.32.handrolled.listt,667393600000,28169089952,5480085304,5664790,751828992
All.nondet.very-deep.32.handrolled.logict,248269140,13478422,2076914,2253,751828992
